Title,Url,Length,Viewed,Bookmark,Tags,AddDate
"Interview with Edward Said-His life-Palestine-Zionist Americans - YouTube",https://www.youtube.com/watch?v=inKSKLnWrhc,long,0,,Said,1461357213
"Conversation between Edward Said and Daniel Barenboim, part 1 - YouTube",https://www.youtube.com/watch?v=HWQCy6_TU3A,long,1,,Said,1461357312
"Edward Said The Last Interview 2003 - YouTube",https://www.youtube.com/watch?v=6NNuczNFyZM,long,0,,Said,1461357328
"Noam Chomsky and Edward Said: On Palestine - YouTube",https://www.youtube.com/watch?v=s4bQtM7q67k,long,0,,"Said,Chomsky",1461357333
"Edward Said On 'Orientalism' - YouTube",https://www.youtube.com/watch?v=3pmkfvzmLdU,short,0,,Said,1461357509
"Edward Said Conversation With Bill Moyers - YouTube",https://www.youtube.com/watch?v=eI6mjFL80xE,short,1,,Said,1461357515
"Terence McKenna - You are Supported by the Universe - YouTube",https://www.youtube.com/watch?v=qp6lSu0s6M8,long,1,,McKenna,1461365460
"Terence McKenna - An Effort to Awaken - YouTube",https://www.youtube.com/watch?v=SAOhdkWoZFc,long,0,,McKenna,1461365500
"Terence Mckenna on Carl Jung and UFOs - YouTube",https://www.youtube.com/watch?v=FfmJMiiebNc,long,1,,McKenna,1461365535
"Terence McKenna - DMT: Death by Astonishment - YouTube",https://www.youtube.com/watch?v=Eqn5FKISlTw,long,1,,McKenna,1461365573
"Terence McKenna - An Effort to Awaken - YouTube",https://www.youtube.com/watch?v=SAOhdkWoZFc,long,0,,McKenna,1467328294
"The Purpose of Novelty in Human Beings and The Universe (Terence Mckenna) [720p] - YouTube",https://www.youtube.com/watch?v=noYTsd8cD_c,long,0,,McKenna,1467328294
"TERENCE MCKENNA - UFO: The Inside Outsider - YouTube",https://www.youtube.com/watch?v=crVV7mFBfBg,long,0,,McKenna,1467328294
"Terence Mckenna - Deconditioning the Human Condition - YouTube",https://www.youtube.com/watch?v=ogTP5FpJC_k,long,0,,McKenna,1467328294
"Dreaming Awake - Spoken by Terence McKenna - YouTube",https://www.youtube.com/watch?v=GSkC42WBGdw,long,0,,McKenna,1467328294
"Terence McKenna - Dreaming - YouTube",https://www.youtube.com/watch?v=LNpMlMW_iZg,long,0,,McKenna,1467328294
"Terence McKenna - Why do we have Imagination? - YouTube",https://www.youtube.com/watch?v=VFHdYdbsnug,long,0,,McKenna,1467328294
"Terence McKenna: Carnivores - YouTube",https://www.youtube.com/watch?v=3fZxfnHsPa8,short,0,,McKenna,1467328294
"Terence McKenna - A Few Conclusions About Life - YouTube",https://www.youtube.com/watch?v=M38gdrbiFZw,long,0,,McKenna,1467328294
"Terence Mckenna - The Ego, The Outsider & Psychedelics - YouTube",https://www.youtube.com/watch?v=S3btA_kcAsI,long,0,,McKenna,1467328294
"Terence McKenna on Marshall Mcluhan - YouTube",https://www.youtube.com/watch?v=9dROH6aOIUc&feature=youtu.be,long,0,,McKenna,1467328294
"Terence McKenna & Riane Eisler ~ Man & Woman At The End Of History (1988) - YouTube",https://www.youtube.com/watch?v=tMB2XIe9gI8,long,0,,McKenna,1467328294
"Terence McKenna ~ Dreaming Awake at the End of Time - YouTube",http://www.youtube.com/watch?v=KboPUQ0xCDs,long,0,,McKenna,1467328294
"Terence McKenna - The World Could Be Anything (Lecture) - YouTube",https://www.youtube.com/watch?v=rAMvHj48JtM,long,1,,McKenna,1467328294
"2003 - Noam Chomsky - Conversation with Charlie Rose - YouTube",https://www.youtube.com/watch?v=h6IBbViUzVU,long,1,,Chomsky,1467328294
"The Myth of the ""Clash of Civilizations"". Edward Said - YouTube",https://www.youtube.com/watch?v=aPS-pONiEG8,long,0,,Said,1467328294
"Terence McKenna - Shamanology of the Amazon - YouTube",https://www.youtube.com/watch?v=W2UkEH7Hz6Q,long,0,,McKenna,1467328294
"Terence McKenna - UFO The Inside Outsider - YouTube",https://www.youtube.com/watch?v=JhXWp1jXFgU,long,0,,McKenna,1467328294
